Title,Location,Date,Time
Cannakraft_Pop-Up_Experiences_x_Weed_with_Words_-_Global_4/20_party,Victoria Road 170_Woodstock_7915_Cape Town_Western Cape_South Africa,2024-04-20,15:00:00
Weed_&_Words,Victoria Road 170_Woodstock_7915_Cape Town_Western Cape_South Africa,2024-04-20,16:00:00
"Sokkie_Party_by_Daisy_Jones_Bar,_Stellenbosch",r44 klapmuts rd_Stellenbosch_7613_7613_Stellenbosch_Western Cape_South Africa,2024-04-20,15:00:00
420_EVENING_at_The_3_Monkeys,1 Botha Road_Hilltop Centre_Bothas Hill_3660_Outer West Durban_KwaZulu-Natal_South Africa,2024-04-20,15:30:00
Dee_Mayekane,Buitengracht Street 35_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-20,19:00:00
Splash_ze_Kush,Belgrave Street 46_2191_Sandton_Gauteng_South Africa,2024-04-20,10:00:00
"THE_GOVT.,_Hugo_Veldsman,_Werner_Bekker_-_LIVE_at_Aandklas_Stellenbosch",Bird Street 43_7600_Stellenbosch_Western Cape_South Africa,2024-04-20,16:00:00
Burn_Out_Bizarre,Wembley Road 15_Gardens_8001_Cape Town_Western Cape_South Africa,2024-04-20,13:00:00
Juan_Boucher_@Padstal,The Highway Street 265_0184_Pretoria_Gauteng_South Africa,2024-04-20,19:00:00
"Dinner_and_Dance_-_Fundraiser_for_Climb4Cancer_Awareness,_Mental_Wellness_and_Skills_Village",390 Regina Road_Northdale_3201_Pietermaritzburg_KwaZulu-Natal_South Africa,2024-04-20,16:00:00
Sunblaze_Sessions_Presents_Get_Lifted,Albertina Sisulu Road 1403_2139_Johannesburg_Gauteng_South Africa,2024-04-20,11:00:00
CROOZE,82 5th Avenue Linden_2195_Johannesburg_Gauteng_South Africa,2024-04-20,17:00:00
Project_X,Wall Street 32_Portland_7785_Cape Town_Western Cape_South Africa,2024-04-20,16:00:00
Glamour_Turns_1,Shortmarket Street 88_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-20,19:00:00
Botriver_goes_WILD,R43 _7185_Bot River_Western Cape_South Africa,2024-04-20,14:30:00
EDEN_-_20.04.2024,West Street 16_2198_Johannesburg_Gauteng_South Africa,2024-04-20,14:00:00
Tribal_Exchange_Presents:_Skinniez_&_Friends,Surfers Corner_Beach Road_Muizenberg_Muizenberg_7950_Cape Town_Western Cape_South Africa,2024-04-20,17:00:00
Ravers_n_Lasers_2.0,Tungsten Road 3_2169_Randburg_Gauteng_South Africa,2024-04-20,16:00:00
URBN_Takeover__Tao_Nightclub,Long Street 251_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-20,18:00:00
THE_TORTURED_SWIFTIE,Queen Victoria Street 54_Gardens_8001_Cape Town_Western Cape_South Africa,2024-04-20,18:00:00
Lana_Del_Rey_Appreciation_Night,Long Street 273_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-20,19:00:00
Groove_Up_North,Viben Avenue 12_Brackenfell Industrial_7560_Cape Town_Western Cape_South Africa,2024-04-20,18:00:00
Awakened,Shamrock Road 489_1619_Kempton Park_Gauteng_South Africa,2024-04-20,17:00:00
HOUSE_PARTY_|_420_edition,Buitenkant Street 23A_District Six_7925_Cape Town_Western Cape_South Africa,2024-04-20,18:00:00
Unwanted_Plants,78a Avenue_4th Ave_Melville_2109_Johannesburg_Gauteng_South Africa,2024-04-20,13:00:00
Minimal_Mayhem_420_Special,Orphan Street 11_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-20,18:00:00
Sky_High_Session_by_Layla_Blunt,Summit Skybar ( ROOFTOP ),2024-04-20,13:00:00
Trenchtown_420_Music_Fest,Lower Main Road 143_Observatory_7925_Cape Town_Western Cape_South Africa,2024-04-20,12:00:00
Shell-Shock,Tungsten Road 304_2169_Johannesburg_Gauteng_South Africa,2024-04-20,15:00:00
[INT]ERRUPT_JHB,Content Engine,2024-04-20,18:00:00
"Hologram_Ft_Jaide,_Rain,_Mobid_Void",Albertus Street 9_District Six_7925_Cape Town_Western Cape_South Africa,2024-04-20,18:00:00
TECHNOTRONYX.,Harrington Street 61c_District Six_7925_Cape Town_Western Cape_South Africa,2024-04-20,19:00:00
MY_TRIBE_Girls_weekend_2024,Scarborough beach house,2024-04-19,13:00:00
Gardening_For_Wildlife,Galena Avenue_Kloofendal_Roodepoort_Gauteng_South Africa,2024-04-21,07:00:00
Candle_Making_Workshop_-_Fernkloof,Hermanus_7200_7200_Hermanus_Western Cape_South Africa,2024-04-21,07:00:00
Blythedale_Hike_&_Social,Blythedale Coastal Estate_KwaDukuza_4453_4453_KwaDukuza_KwaZulu-Natal_South Africa,2024-04-21,05:30:00
Courageous_Men's_Camp__19-21_April_2024,48J5+CG Wigwam_South Africa_2999_Wigwam_North West_South Africa,2024-04-19,15:00:00
ATK_F1_Breakfast_Watch_Party,Main Road 91_Claremont_7708_Cape Town_Western Cape_South Africa,2024-04-21,06:30:00
"Music_for_Cello,_Flute_and_Piano",1 Church Road _Hillcrest_3624_Outer West Durban_KwaZulu-Natal_South Africa,2024-04-21,09:30:00
How_to_make_a_living_room_partition,146 North Rand Road _1459_Boksburg_Gauteng_South Africa,2024-04-21,08:00:00
Somerset-West_Make-Up_Workshop_(21_April_2024),Prospect Avenue _Bene_7130_Cape Town_Western Cape_South Africa,2024-04-21,08:00:00
SOUNDBATH_WITH_TUBATSI_MOLOI,De Beer Street 5_2017_Johannesburg_Gauteng_South Africa,2024-04-21,08:00:00
Mega_Book_Sale_@_Holy_Family_College,Oxford Road 40_2193_Johannesburg_Gauteng_South Africa,2024-04-20,06:00:00
How_to_install_a_laminate_flooring,146 North Rand Road _1459_Boksburg_Gauteng_South Africa,2024-04-21,08:00:00
Tannie_Evita_Praat_Kaktus_-_21_April_2024,Arcadia Street 8_7345_Darling_Western Cape_South Africa,2024-04-21,10:00:00
Spider_&_Scorpion_First_Aid_Workshop,Veronica / Galena Street _1709_Roodepoort_Gauteng_South Africa,2024-04-21,09:00:00
Incorruptible_Young_Adult_Camp,47RR+78 Wigwam_South Africa_2999_Wigwam_North West_South Africa,2024-04-19,06:00:00
Sunday_morning_bike_ride,2 De Beer _2017_Johannesburg_Gauteng_South Africa,2024-04-21,08:30:00
21st_5KM_Wine_Tasting_Fun_Run_Event,5J62+HF Bellville_Cape Town_South Africa_M13 Tygerberg Valley Road_Durbanville_7550_Cape Town_Western Cape_South Africa,2024-04-21,08:00:00
Health_Expo_&_Medical_Clinic,Henry Fynn Road _3610_Pinetown_KwaZulu-Natal_South Africa,2024-04-21,08:00:00
THINGS_OF_BEAUTY,Vredenburg Road _Stellenbosch_Western Cape_South Africa,2024-04-21,07:00:00
Weekend_of_crafts_-_Greyton_and_Hermanus,Hermanus_7200_7200_Hermanus_Western Cape_South Africa,2024-04-20,07:00:00
Tie-Dye_t-shirt_Workshop_-_Fernkloof,Hermanus_7200_7200_Hermanus_Western Cape_South Africa,2024-04-21,09:00:00
Barefoot_Leather_Shoe_Workshop_-_Fernkloof,Hermanus_7200_7200_Hermanus_Western Cape_South Africa,2024-04-21,09:00:00
"OPEN_MIC_STORYTELLING_AFTERNOON_FOR_WOMEN:_An_in-person_event,_hosted_by_Louise_Diesel_&_visiting_Shaine_Duys,_Open_Mic_Storytelling_Facilitator",Houghton Drive 51_2198_Johannesburg_Gauteng_South Africa,2024-04-21,11:00:00
Goudmyn_Toer,Galena Avenue_Kloofendal_Roodepoort_Gauteng_South Africa,2024-04-21,12:00:00
RMC_DBN_Brunch," Mitera_Shop 2_Lighthouse Mall_Lighthouse Rd,_4320_Umhlanga_Gauteng_South Africa",2024-04-20,10:00:00
